HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
QJs,29,47o,137,0.6721405982971191,0.009214047342538834,0.3186453878879547
QJs,29,46o,138,0.6596867442131042,0.009140754118561745,0.33117249608039856
QJs,29,45o,139,0.6441741585731506,0.00939786434173584,0.3464279770851135
QJs,29,44o,140,0.5101225972175598,0.00798962451517582,0.4818877577781677
QJs,29,43s,141,0.6316412091255188,0.009795427322387695,0.3585633635520935
QJs,29,42s,142,0.6442264318466187,0.009898358955979347,0.34587520360946655
QJs,29,3Ao,143,0.4672422409057617,0.005113869905471802,0.5276439189910889
QJs,29,3Ko,144,0.4709232449531555,0.007364346645772457,0.5217124223709106
QJs,29,3Qo,145,0.7089154124259949,0.07998112589120865,0.21110348403453827
QJs,29,3Jo,146,0.7482711672782898,0.040624797344207764,0.21110406517982483
QJs,29,3To,147,0.7082462906837463,0.00964183360338211,0.28211185336112976
QJs,29,39o,148,0.6989291906356812,0.009405017830431461,0.29166579246520996
QJs,29,38o,149,0.6957993507385254,0.009411879815161228,0.29478877782821655
QJs,29,37o,150,0.6853039860725403,0.009407354518771172,0.3052886724472046
QJs,29,36o,151,0.6728501319885254,0.009334061294794083,0.31781578063964844
QJs,29,35o,152,0.6573375463485718,0.009591170586645603,0.3330712616443634
QJs,29,34o,153,0.6609541773796082,0.009780973196029663,0.3292648494243622
QJs,29,33o,154,0.5149216055870056,0.009682860225439072,0.475395530462265
QJs,29,32s,155,0.6477002501487732,0.010083343833684921,0.3422164022922516
QJs,29,2Ao,156,0.4680718183517456,0.005389960017055273,0.5265381932258606
QJs,29,2Ko,157,0.4717528223991394,0.007640436291694641,0.5206067562103271
QJs,29,2Qo,158,0.7130700349807739,0.08094960451126099,0.2059803605079651
QJs,29,2Jo,159,0.7529618740081787,0.04105715826153755,0.20598094165325165
QJs,29,2To,160,0.7119220495223999,0.009917923249304295,0.2781600058078766
QJs,29,29o,161,0.7026049494743347,0.00968110840767622,0.2877139449119568
QJs,29,28o,162,0.6962785124778748,0.009560071863234043,0.2941614091396332
QJs,29,27o,163,0.6985265016555786,0.009650155901908875,0.2918233275413513
QJs,29,26o,164,0.6860727071762085,0.009576862677931786,0.30435046553611755
QJs,29,25o,165,0.6705601215362549,0.009833971969783306,0.31960591673851013
QJs,29,24o,166,0.6741767525672913,0.010023774579167366,0.3157995045185089
QJs,29,23o,167,0.6778524518013,0.010250370018184185,0.3118971586227417
QJs,29,22o,168,0.5201936364173889,0.01164376549422741,0.4681625962257385
QTs,30,Q9s,31,0.6424904465675354,0.09656637907028198,0.26094314455986023
QTs,30,Q8s,32,0.6446139216423035,0.09494633972644806,0.2604397237300873
QTs,30,Q7s,33,0.6453970670700073,0.09533587843179703,0.25926703214645386
QTs,30,Q6s,34,0.6426078677177429,0.0957808867096901,0.2616112530231476
QTs,30,Q5s,35,0.6430143117904663,0.09683502465486526,0.26015064120292664
QTs,30,Q4s,36,0.643497884273529,0.09749962389469147,0.2590024769306183
QTs,30,Q3s,37,0.647254228591919,0.09832482784986496,0.2544209361076355
QTs,30,Q2s,38,0.6510105729103088,0.09920784831047058,0.24978157877922058
QTs,30,JAo,39,0.4172455668449402,0.0045613981783390045,0.5781930088996887
QTs,30,JKo,40,0.40614721179008484,0.006865311414003372,0.5869874954223633
QTs,30,JQo,41,0.2744100093841553,0.07744516432285309,0.6481448411941528
